Numer RSPO,Nazwa,Kod terytorialny województwo,Kod terytorialny powiat,Kod terytorialny gmina,Kod terytorialny miejscowość,Kod terytorialny ulica,Województwo,Powiat,Gmina,Ulica,Numer budynku,Numer lokalu,Adres full,Kod pocztowy,Telefon,E-mail,Strona www,Publiczność status,Kategoria uczniów,Imię i nazwisko dyrektora,Liczba uczniów
128465,"""AKADEMIA ROSENBERGA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA",14,1418,1418032,4883,10591,MAZOWIECKIE,piaseczyński,Lesznowola,ul. Kwitnącej Wiśni,13,,piaseczyński ul. Kwitnącej Wiśni 13 ,05-506,696068488,sekretariat@akademiarosenberga.pl,akademiarosenberga.pl,niepubliczna,Dzieci lub młodzież,AGNIESZKA SATALECKA,128
267417,"""AKTYWNE PRZEDSZKOLE KOGUT""",32,3262,3262011,977976,13967,ZACHODNIOPOMORSKIE,Szczecin,Szczecin,ul. Zofii Nałkowskiej,11,,Szczecin ul. Zofii Nałkowskiej 11 ,70-785,504404080,m.walczak@przedszkolekogut.pl,www.przedszkolekogut.pl,niepubliczna,Dzieci lub młodzież,MONIKA WALCZAK,26
125851,"""ALA"" AUTORSKIE LICEUM ARTYSTYCZNE I AKADEMICKIE",24,2464,2464011,930868,13902,ŚLĄSKIE,Częstochowa,Częstochowa,ul. Nadrzeczna,5,,Częstochowa ul. Nadrzeczna 5 ,42-202,343680375,alacz@o2.pl,www.alacz.edu.pl,niepubliczna,Dzieci lub młodzież,ZOFIA ŚCIEBURA,93
277640,"""ALELICEUM"" LICEUM OGÓLNOKSZTAŁCĄCE W ŁODZI",10,1061,1061059,958430,18637,ŁÓDZKIE,Łódź,Łódź-Śródmieście,ul. Rewolucji 1905 r.,65,,Łódź ul. Rewolucji 1905 r. 65 ,90-221,727470080,dyrektor.lodz@akademickielo.pl,https://lodz.medyczneliceum.pl/index.php/pl/,niepubliczna,Dzieci lub młodzież,MAŁGORZATA DRZEWIECKA,117
277639,"""ALETECHNIKUM"" TECHNIKUM DLA MŁODZIEŻY W ŁODZI",10,1061,1061059,958430,18637,ŁÓDZKIE,Łódź,Łódź-Śródmieście,ul. Rewolucji 1905 r.,65,,Łódź ul. Rewolucji 1905 r. 65 ,90-221,791499655,dyrektor.lodz@akademickielo.pl,,niepubliczna,Dzieci lub młodzież,MAŁGORZATA DRZEWIECKA,78
104649,"""AZYMUT"" SZKOŁA PODSTAWOWA FUNDACJI STERNIK",14,1421,1421021,921510,21071,MAZOWIECKIE,pruszkowski,Pruszków,ul. Stanisława Staszica,1,,pruszkowski ul. Stanisława Staszica 1 ,05-800,509000081,sekretariat@azymut.edu.pl,http://azymut.edu.pl/,niepubliczna,Dzieci lub młodzież,MONIKA ŚWIDERSKA,377
124884,"""BĄBELKOWA AKADEMIA"" NIEPUBLICZNE PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI",14,1432,1432054,920864,8828,MAZOWIECKIE,warszawski zachodni,Łomianki,ul. Kolejowa,42,3,warszawski zachodni ul. Kolejowa 42 3,05-092,535504343,biuro@babelkowakademia.pl,www.babelkowa.akademia.pl,niepubliczna,Dzieci lub młodzież,ANITA KAWCZYŃSKA,19
52414,"""BAJECZKA"" NIEPUBLICZNE PRZEDSZKOLE INTEGRACYJNE",14,1465,1465048,988804,24849,MAZOWIECKIE,Warszawa,Bielany,ul. Wrzeciono,12,4,Warszawa ul. Wrzeciono 12 4,01-954,505142983,1aster@wp.pl,www.bajkoweprzedszkola.pl,niepubliczna,Dzieci lub młodzież,MONIKA TKACZYK,30
13963,"""BAJKA"" PRZEDSZKOLE NIEPUBLICZNE NR 8 W BIAŁYMSTOKU",20,2061,2061011,922410,32292,PODLASKIE,Białystok,Białystok,ul. Michała Pietkiewicza,7A,,Białystok ul. Michała Pietkiewicza 7A ,15-689,600380373,kontakt@bajkaprzedszkole.pl,www.bajkaprzedszkole.pl,niepubliczna,Dzieci lub młodzież,EWA EJSMONT,49
127860,"""BAJKOWA KRAINA"" PRZEDSZKOLE NIEPUBLICZNE KLAUDIA GALAS",24,2416,2416042,136685,7668,ŚLĄSKIE,zawierciański,Kroczyce,ul. Jurajska,2,,zawierciański ul. Jurajska 2 ,42-425,663623572,galassclaudia@gmail.com,,niepubliczna,Dzieci lub młodzież,KLAUDIA GALAS,45
68872,"""BAJKOWE PRZEDSZKOLE W MAGICZNYM DOMU"" NIEPUBLICZNE PRZEDSZKOLE",28,2807,2807011,964650,4758,WARMIŃSKO-MAZURSKIE,iławski,Iława,ul. Elbląska,45,,iławski ul. Elbląska 45 ,14-200,781888128,biankopo.biuro@gmail.com,,niepubliczna,Dzieci lub młodzież,MARIAN POKOJSKI,63
86357,"""BAJKOWE PRZEDSZKOLE""",14,1421,1421062,8065,7499,MAZOWIECKIE,pruszkowski,Raszyn,ul. Jesienna,16,,pruszkowski ul. Jesienna 16 ,05-090,227203617,info@bajkowe-przedszkole.pl,,niepubliczna,Dzieci lub młodzież,JAN SZKLARZEWSKI,20
88544,"""BAJKOWE PRZEDSZKOLE"" PRZEDSZKOLE NIEPUBLICZNE W SŁUPSKU",22,2263,2263011,977278,19142,POMORSKIE,Słupsk,Słupsk,ul. Rybacka,5a,,Słupsk ul. Rybacka 5a ,76-200,604518550,sekretariat@bajoweprzedszkole.pl,,niepubliczna,Dzieci lub młodzież,AGNIESZKA MINAŁTO,31
83938,"""BAJKOWE PRZEDSZKOLE"" W ŁADACH",14,1421,1421062,7947,3839,MAZOWIECKIE,pruszkowski,Raszyn,ul. Długa,49,,pruszkowski ul. Długa 49 ,05-090,223539890,sekretariat@bajkowe.raszyn.pl,,publiczna,Dzieci lub młodzież,,170
131902,"""BAMBI"" NIEPUBLICZNE PRZEDSZKOLE MONTESSORI",14,1461,1461011,966079,11205,MAZOWIECKIE,Ostrołęka,Ostrołęka,ul. 11 Listopada,70,,Ostrołęka ul. 11 Listopada 70 ,07-410,603240881,bambiradosc@wp.pl,www.bambiradosc@wp.pl,niepubliczna,Dzieci lub młodzież,,61
479216,"""BAZA MARZEŃ"" - PRZEDSZKOLE ARTYSTYCZNO-TERENOWE",22,2262,2262011,934100,8435,POMORSKIE,Gdynia,Gdynia,ul. Jana Kilińskiego,6,2,Gdynia ul. Jana Kilińskiego 6 2,81-386,500016369,fundacja.inspirja@gmail.com,,niepubliczna,Dzieci lub młodzież,MARIA GRACZYK,25
28891,"""BAZA MARZEŃ"" -- DOMOWE PRZEDSZKOLE WOLNYCH DZIECI",22,2262,2262011,934100,39919,POMORSKIE,Gdynia,Gdynia,ul. Żołnierzy I Armii Wojska Polskiego,14,,Gdynia ul. Żołnierzy I Armii Wojska Polskiego 14 ,81-383,500016369,domoweprzedszkole.bazamarzen@gmail.com,,niepubliczna,Dzieci lub młodzież,MARIA GRACZYK,25
128589,"""BIG BEN"" NIEPUBLICZNA POLSKO-BRYTYJSKA SZKOŁA PODSTAWOWA IM. GENERAŁA WŁADYSŁAWA ANDERSA",14,1432,1432072,8898,23682,MAZOWIECKIE,warszawski zachodni,Stare Babice,ul. Warszawska,57,,warszawski zachodni ul. Warszawska 57 ,05-082,517951287,a.perkowska@big-ben.edu.pl,www.big-ben.edu.pl,niepubliczna,Dzieci lub młodzież,ALEKSANDRA PERKOWSKA,139
264801,"""CZARLANDIA"" NIEPUBLICZNE PRZEDSZKOLE JĘZYKOWE",14,1408,1408032,5687,24694,MAZOWIECKIE,legionowski,Nieporęt,ul. Wolska,3A,,legionowski ul. Wolska 3A ,05-119,783043502,biuro@czarlandia.com,czarlandia.com,niepubliczna,Dzieci lub młodzież,AGNIESZKA KOBLA,60
123304,"""DZWONECZEK"" DOROTA KELSZ",22,2204,2204042,169302,2462,POMORSKIE,gdański,Pruszcz Gdański,ul. Bursztynowa,2A,1,gdański ul. Bursztynowa 2A 1,83-021,501175612,dzwoneczek.przedszkole@gmail.com,dzwoneczek-przedszkole.com.pl,niepubliczna,Dzieci lub młodzież,DOROTA KELSZ,40
44677,"""EDUCENTRUM"" POLICEALNA SZKOŁA MEDYCZNA W BIAŁYMSTOKU",20,2061,2061011,922410,9282,PODLASKIE,Białystok,Białystok,ul. Mikołaja Kopernika,95,,Białystok ul. Mikołaja Kopernika 95 ,15-396,857447280,biuro@educentrum.com.pl,https://educentrum.com.pl/,niepubliczna,Bez kategorii,KRYSTYNA NIEMCZAK,339
76170,"""EUROCONSULTING"" CENTRUM KSZTAŁCENIA DOROSŁYCH. LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W OLEŚNICY",2,214,214011,987213,15529,DOLNOŚLĄSKIE,oleśnicki,Oleśnica,ul. Ignacego Paderewskiego,2,,oleśnicki ul. Ignacego Paderewskiego 2 ,56-400,717989140,euroconsulting@poczta.fm,www.ec.edu.pl,niepubliczna,Dorośli,KAZIMIERZ GĘBUŚ,250
75523,"""EUROCONSULTING"" POLSKO-NIEMIECKIE CENTRUM EDUKACJI BIZNESU. SZKOŁA POLICEALNA W OLEŚNICY",2,214,214011,987213,15529,DOLNOŚLĄSKIE,oleśnicki,Oleśnica,ul. Ignacego Paderewskiego,2,,oleśnicki ul. Ignacego Paderewskiego 2 ,56-400,717989140,euroconsulting@poczta.fm,www.ec.edu.pl,niepubliczna,Bez kategorii,KAZIMIERZ GĘBUŚ,110
74585,"""EUROPEJSKIE"" PRYWATNE ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W SZCZECINIE",32,3262,3262011,977976,33727,ZACHODNIOPOMORSKIE,Szczecin,Szczecin,ul. Aleja Piastów,45,,Szczecin ul. Aleja Piastów 45 ,70-311,914626494,sekretariat@europejskie.edu.pl,www.europejskie.edu.pl,niepubliczna,Dorośli,MACIEJ KOĆMIT,54
88400,"""EXPERCIK - WARSZEWO"" PUNKT PRZEDSZKOLNY",32,3262,3262011,977976,13285,ZACHODNIOPOMORSKIE,Szczecin,Szczecin,ul. Morenowa,22,,Szczecin ul. Morenowa 22 ,71-784,535064005,biuro@expercik.pl,www.expercik.pl,niepubliczna,Dzieci lub młodzież,MONIKA ADAMSKA HAMROL,9
132908,"""FAJNE PRZEDSZKOLE"" PRZEDSZKOLE NIEPUBLICZNE",12,1206,1206172,344231,11596,MAŁOPOLSKIE,krakowski,Zielonki,ul. Łąkowa,51,,krakowski ul. Łąkowa 51 ,32-088,601227356,ewciag@interia.pl,www.fajneprzedszkole.pl,niepubliczna,Dzieci lub młodzież,EWA GAJEWSKA,20
30613,"""FREGATA"" SZKOŁA PODSTAWOWA DLA CHŁOPCÓW",22,2261,2261011,933016,3906,POMORSKIE,Gdańsk,Gdańsk,ul. Do Studzienki,38,,Gdańsk ul. Do Studzienki 38 ,80-227,512149033,szkola@fregata.edu.pl,szkoladlachlopcow.pl,niepubliczna,Dzieci lub młodzież,PAWEŁ KUNDA,132
81276,"""GOODSTART"" PUNKT PRZEDSZKOLNY",14,1418,1418024,920634,3839,MAZOWIECKIE,piaseczyński,Konstancin-Jeziorna,ul. Długa,7A,,piaseczyński ul. Długa 7A ,05-510,797490570,zakrzewskabeata8@gmail.com,www.goodstartkonstancin.pl,niepubliczna,Dzieci lub młodzież,BEATA ZAKRZEWSKA-LARCERI,14
19116,"""HAPPY KIDS"" PRZEDSZKOLE NIEPUBLICZNE NR 1 W KAMIEŃCU WROCŁAWSKIM",2,223,223012,873567,2985,DOLNOŚLĄSKIE,wrocławski,Czernica,ul. Cichy Kącik,16,,wrocławski ul. Cichy Kącik 16 ,55-002,694112158,happykids@happykids.edu.pl,www.happykids.edu.pl,niepubliczna,Dzieci lub młodzież,ANNA JEZIERSKA,142
109711,"""HORYZONTY"" PRZEDSZKOLE FUNDACJI STERNIK-POZNAŃ",30,3064,3064049,969770,3955,WIELKOPOLSKIE,Poznań,Poznań-Nowe Miasto,ul. Dobrowita,22,,Poznań ul. Dobrowita 22 ,61-063,515043563,sekretariat.przedszkole@horyzonty.edu.pl,http://przedszkole.horyzonty.edu.pl,niepubliczna,Dzieci lub młodzież,MAGDALENA TREPIŃSKA,84
128654,"""JACEK I AGATKA - WESOŁA I TWÓRCZA GROMADKA"" - PUNKT PRZEDSZKOLNY W GMINIE LEONCIN",14,1414,1414032,4096,36993,MAZOWIECKIE,nowodworski,Leoncin,ul. Isaaca Bashevisa Singera,3,,nowodworski ul. Isaaca Bashevisa Singera 3 ,05-155,517821611,pp.jacekiagatka@wp.pl,,publiczna,Dzieci lub młodzież,ANNA JACZYŃSKA,19
66105,"""KLUB KUBUSIA PUCHATKA""",24,2464,2464011,930868,22409,ŚLĄSKIE,Częstochowa,Częstochowa,ul. Średnia,29,,Częstochowa ul. Średnia 29 ,42-221,343620596,klubpuchatka.srednia@gmail.com,,niepubliczna,Dzieci lub młodzież,MARIUSZ WŁODARCZYK,52
269260,"""KLUBIK MALUCHA"" NIEPUBLICZNE PRZEDSZKOLE INTEGRACYJNO - TERAPEUTYCZNE",20,2062,2062011,957241,12130,PODLASKIE,Łomża,Łomża,ul. Stanisława Małachowskiego,3,1 i 2,Łomża ul. Stanisława Małachowskiego 3 1 i 2,18-400,502421679,pkmalucha@wp.pl,,niepubliczna,Dzieci lub młodzież,MARZENA CHĘTNIK,24
89650,"""KOLOROWA SZKOŁA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA",14,1461,1461011,966079,17394,MAZOWIECKIE,Ostrołęka,Ostrołęka,ul. Poznańska,34,36,Ostrołęka ul. Poznańska 34 36,07-409,512997454,kolorowaszkola@o2.pl,,niepubliczna,Dzieci lub młodzież,GRAŻYNA CISZKOWSKA,16
273918,"""KOLOROWE KREDKI""",24,2464,2464011,930868,12540,ŚLĄSKIE,Częstochowa,Częstochowa,ul. Mazowiecka,34,,Częstochowa ul. Mazowiecka 34 ,42-221,697278401,wioltut1@wp.pl,www.kolorowekredki.czest.pl,niepubliczna,Dzieci lub młodzież,WIOLETTA WOZDEREWICZ,20
44694,"""KRAINA ODKRYWCÓW"" PRZEDSZKOLE PUBLICZNE W TURZY ŚLĄSKIEJ",24,2415,2415062,214764,11056,ŚLĄSKIE,wodzisławski,Gorzyce,ul. Ligonia,2B,,wodzisławski ul. Ligonia 2B ,44-351,324511191,,,publiczna,Dzieci lub młodzież,,145
124968,"""KRASNALOWA AKADEMIA"" PUNKT PRZEDSZKOLNY",14,1432,1432015,98,3839,MAZOWIECKIE,warszawski zachodni,Błonie,ul. Długa,91A,,warszawski zachodni ul. Długa 91A ,05-870,794611700,lechnioola@wp.pl,www.krasnalowaakademia.pl,niepubliczna,Dzieci lub młodzież,ALEKSANDRA CIEŚLIK-GOŁĘBIEWSKA,11
480403,"""KRÓLESTWO MALUCHA"" NIEPUBLICZNE PRZEDSZKOLE MAŁGORZATA MADEJ-CISZEK",18,1803,1803042,817994,21970,PODKARPACKIE,dębicki,Dębica,ul. Szkolna,1,,dębicki ul. Szkolna 1 ,39-207,783553717,madejka86@op.pl,,niepubliczna,Dzieci lub młodzież,MAŁGORZATA MADEJ-CISZEK,44
272493,"""LEŚNA CHATKA"" W MROWINIE",30,3021,3021132,594028,17070,WIELKOPOLSKIE,poznański,Rokietnica,ul. Południowa,23 i 25,,poznański ul. Południowa 23 i 25 ,62-090,728800858,lesna.chatka@op.pl,www.leśnachatka.pl,publiczna,Dzieci lub młodzież,KARINA CZYŻ,120
48812,"""MAŁA SZKOŁA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA",8,810,810045,909733,,LUBUSKIE,żagański,Iłowa,,83A,,żagański  83A ,68-120,683609044,malaszkola@wp.pl,http://malaszkola83.blogspot.com/,niepubliczna,Dzieci lub młodzież,WIESŁAWA PATYK-KOZŁOWSKA,65
26084,"""MAŁE FANTAZJE"" PUNKT PRZEDSZKOLNY",10,1061,1061069,958453,12938,ŁÓDZKIE,Łódź,Łódź-Widzew,ul. Milionowa,80,,Łódź ul. Milionowa 80 ,92-334,667275564,malefantazje@gmail.com,,niepubliczna,Dzieci lub młodzież,,8
21429,"""MAŁE PRZEDSZKOLE"" NIEPUBLICZNE PRZEDSZKOLE INTEGRACYJNE",14,1465,1465128,918784,34314,MAZOWIECKIE,Warszawa,Ursus,ul. Apartamentowa,12,A,Warszawa ul. Apartamentowa 12 A,02-495,694759151,perla_misaki@wp.pl,,niepubliczna,Dzieci lub młodzież,MONIKA AMANOWICZ,17
44262,"""MAŁE PRZEDSZKOLE"" W RYCHNOWIE",32,3210,3210015,177968,,ZACHODNIOPOMORSKIE,myśliborski,Barlinek,,57,,myśliborski  57 ,74-320,601570516,aga_wita@interia.pl,,niepubliczna,Dzieci lub młodzież,AGNIESZKA TOKAJ,17
277259,"""MALI ODKRYWCY"" PRZEDSZKOLE SPORTOWE",2,208,208041,984278,8622,DOLNOŚLĄSKIE,kłodzki,Nowa Ruda,ul. Kłodzka,31,B,kłodzki ul. Kłodzka 31 B,57-402,734218566,kontakt@maliodkrywcy.nowaruda.pl,www.maliodkrywcy.nowaruda.pl,niepubliczna,Dzieci lub młodzież,RENATA WIŚNIEWSKA,149
70321,"""MAŁY EUROPEJCZYK"" PRYWATNE PRZEDSZKOLE JĘZYKOWE",24,2461,2461011,923584,339,ŚLĄSKIE,Bielsko-Biała,Bielsko-Biała,ul. św. Anny,22,,Bielsko-Biała ul. św. Anny 22 ,43-300,501355780,info@szkolaeuropejczyk.pl,www.malyeuropejczyk.pl,niepubliczna,Dzieci lub młodzież,IWONA CZADANKIEWICZ,52
90778,"""MARTYNKA BIS"" PRZEDSZKOLE PRYWATNE W LUBLINIE",6,663,663011,954700,51954,LUBELSKIE,Lublin,Lublin,ul. Biskupa Mariana Fulmana,7,,Lublin ul. Biskupa Mariana Fulmana 7 ,20-492,817456688,agasalaga@interia.pl,www.martynka.lublin.pl,niepubliczna,Dzieci lub młodzież,Agnieszka Sałaga,16
17072,"""MISTRZOWIE ZABAWY"" NIEPUBLICZNE PRZEDSZKOLE INTEGRACYJNE",12,1212,1212074,945315,1739,MAŁOPOLSKIE,olkuski,Wolbrom,os. Bolesława Chrobrego,43,,olkuski os. Bolesława Chrobrego 43 ,32-340,519557414,przedszkolewolbrom@onet.pl,przedszkolewolbrom.pl,niepubliczna,Dzieci lub młodzież,HALINA POPIEL,27
125683,"""MOJE PRZEDSZKOLE"" PRZEDSZKOLE NIEPUBLICZNE",14,1421,1421062,7947,21043,MAZOWIECKIE,pruszkowski,Raszyn,ul. Starzyńskiego,46a,,pruszkowski ul. Starzyńskiego 46a ,05-090,791437776,biuro@mojeprzedszkole.waw.pl,,niepubliczna,Dzieci lub młodzież,VIOLETTA NOJMANN,34
277181,"""MORSKIE OPOWIEŚCI 2"" NIEPUBLICZNE PRZEDSZKOLE ALEKSANDRA KOŚCIŃSKA",22,2204,2204062,170222,22722,POMORSKIE,gdański,Pszczółki,ul. Tczewska,10,A,gdański ul. Tczewska 10 A,83-032,696832760,morskieopowiesci.edu@gmail.com,,niepubliczna,Dzieci lub młodzież,ALEKSANDRA KOŚCIŃSKA,35
129840,"""MORSKIE OPOWIEŚCI"" - NIEPUBLICZNE PRZEDSZKOLE ALEKSANDA KOŚCIŃSKA",22,2204,2204042,169147,24870,POMORSKIE,gdański,Pruszcz Gdański,ul. Wrzosowa,2,,gdański ul. Wrzosowa 2 ,83-010,696832760,morskieopowiesci.edu@gmail.com,morskieopowiesci.edu.pl,niepubliczna,Dzieci lub młodzież,ALEKSANDRA KOŚCIŃSKA,41
10458,"""NIEBIESKA SOWA"" TERAPEUTYCZNY PUNKT PRZEDSZKOLNY",30,3003,3003011,970632,23682,WIELKOPOLSKIE,gnieźnieński,Gniezno,ul. Warszawska,21,,gnieźnieński ul. Warszawska 21 ,62-200,722253727,niebieska.sowa@wp.pl,,niepubliczna,Dzieci lub młodzież,ANNA CISZEWSKA,8
480849,"""NIEBIESKI KORALIK"" TERAPEUTYCZNY PUNKT PRZEDSZKOLNY W BRZEŻNIE Z ODDZIAŁAMI INTEGRACYJNYMI - KRYSTYNA JANKOWSKA",32,3216,3216022,304527,,ZACHODNIOPOMORSKIE,świdwiński,Brzeżno,,32,,świdwiński  32 ,78-316,690011256,kuzminskakrystyna102@o2.pl,,niepubliczna,Dzieci lub młodzież,KRYSTYNA JANKOWSKA,16
278749,"""NIEPUBLICZNE JĘZYKOWE PRZEDSZKOLE U KUBUSIA PUCHATKA"" W SUWAŁKACH",20,2063,2063011,977456,3639,PODLASKIE,Suwałki,Suwałki,ul. Ignacego Daszyńskiego,27B,,Suwałki ul. Ignacego Daszyńskiego 27B ,16-400,511083222,kasiafalecka@wp.pl,,niepubliczna,Dzieci lub młodzież,ELŻBIETA BARANOWSKA,46
25677,"""NIEPUBLICZNE PRZEDSZKOLE JĘZYKOWO-EKOLOGICZNE WESOŁE MISIE """,18,1816,1816144,975078,42010,PODKARPACKIE,rzeszowski,Tyczyn,ul. Świętego Krzyża,14,,rzeszowski ul. Świętego Krzyża 14 ,36-020,172302295,wesolemisie@o2.pl,www.speaker-tyczyn.pl,niepubliczna,Dzieci lub młodzież,Marzena Wianecka-Kusy,37
275408,"""OTWARTA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1",22,2205,2205085,177112,20598,POMORSKIE,kartuski,Żukowo,ul. Sosnowa,17,,kartuski ul. Sosnowa 17 ,80-297,691355365,kontakt@szkolabanino.pl,www.szkolabanino.pl,niepubliczna,Dzieci lub młodzież,REGINA LEPAK-FIGARSKA,20
275653,"""PIASTUSIOWA CHATKA II""",2,264,264029,986290,16221,DOLNOŚLĄSKIE,Wrocław,Wrocław-Fabryczna,ul. Pilczycka,25,,Wrocław ul. Pilczycka 25 ,54-151,662216621,piastusiowa.chatka@gmail.com,www.piastusiowachatka.com,niepubliczna,Dzieci lub młodzież,ALICJA MIODUSZEWSKA,24
21278,"""PIASTUSIOWA CHATKA""",2,264,264029,986290,16221,DOLNOŚLĄSKIE,Wrocław,Wrocław-Fabryczna,ul. Pilczycka,25,,Wrocław ul. Pilczycka 25 ,54-151,662216621,piastusiowa.chatka@gmail.com,www.piastusiowachatka.omega.pl,niepubliczna,Dzieci lub młodzież,ALICJA MIODUSZEWSKA,25
59014,"""PROGRES"" SZKOŁA POLICEALNA W WARSZAWIE",14,1465,1465108,919810,20369,MAZOWIECKIE,Warszawa,Śródmieście,ul. Smolna,13,,Warszawa ul. Smolna 13 ,00-375,228866476,warszawa@szkolaprogres.pl,www.szkolaprogres.pl,niepubliczna,Bez kategorii,,12
129559,"""PROMIENIE PRUSZKÓW"" PRZEDSZKOLE FUNDACJI STERNIK",14,1421,1421021,921510,21071,MAZOWIECKIE,pruszkowski,Pruszków,ul. Stanisława Staszica,1,,pruszkowski ul. Stanisława Staszica 1 ,05-800,509000081,sekretariat@sternikpruszkow.edu.pl,www.promienie.edu.pl,niepubliczna,Dzieci lub młodzież,RENATA GAWARSKA,115
132211,"""PROMYCZEK"" PRZEDSZKOLE NIEPUBLICZNE DOMINIKA POPŁAWSKA-OLESZCZUK",4,408,408055,863681,,KUJAWSKO-POMORSKIE,lipnowski,Kikół,,6,,lipnowski  6 ,87-620,668380542,oleszczukd@onet.pl,,niepubliczna,Dzieci lub młodzież,DOMINIKA POPŁAWSKA-OLESZCZUK,15
125365,"""PROMYCZEK""PRZEDSZKOLE NIEPUBLICZNE DOMINIKA POPŁAWSKA-OLESZCZUK",4,408,408054,863480,22659,KUJAWSKO-POMORSKIE,lipnowski,Kikół,ul. Targowa,31,,lipnowski ul. Targowa 31 ,87-620,668380542,oleszczukd@onet.pl,,niepubliczna,Dzieci lub młodzież,DOMINIKA POPŁAWSKA-OLESZCZUK,12
